Outlet_Identifier,Outlet_Age,Item_Weight,Item_Visibility,Item_MRP,Item_Visibility_Log,Item_Outlet_Sales,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Item_Fat_Content_Low Fat,Item_Fat_Content_Regular,MRP_Bucket_Low,MRP_Bucket_Medium,MRP_Bucket_High,MRP_Bucket_Very_High,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Weight_Bucket_Low,Weight_Bucket_Mode,Weight_Bucket_High,Item_Category_Drinks,Item_Category_Food,Item_Category_Non-Consumables,Visibility_Bucket_Low,Visibility_Bucket_Medium,Visibility_Bucket_High
1,26,10.195,0.159803853,141.5154,-1.833808134551401,850.8924,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
1,26,9.895,0.028696932,117.0492,-3.550965060885366,810.9444,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
2,6,10.895,0.065041581,196.3794,-2.732728505919938,3121.2704,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
2,6,12.15,0.028760013,151.4708,-3.5487692941127036,4815.0656,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
3,4,7.905,0.010053105,249.0408,-3.6123082178025943,6258.52,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
7,11,9.195,0.048157338,106.1622,-3.033281753595619,2117.244,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
9,14,8.365,0.071958197,38.0506,-2.631669925800138,796.9626,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
8,16,15.1,0.173481304,194.511,-1.7516854433265976,4910.275,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
4,28,12.857645184135976,0.061082177,180.0344,-2.7955351574855882,892.172,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
3,4,10.0,0.0,246.9144,-3.6123082178025943,3185.1872,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
7,11,7.97,0.040071131,87.3514,-3.2170991291272277,1062.6168,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
5,28,12.857645184135976,0.012090074,38.2848,-3.6123082178025943,484.7024,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
4,28,12.857645184135976,0.15028599,51.0692,-1.8952152001407176,147.8076,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
5,28,12.857645184135976,0.026015519,255.8356,-3.6123082178025943,2543.356,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0
0,15,17.7,0.195068226,185.4266,-1.634405904687971,184.4266,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
6,9,19.35,0.033082215,172.5738,-3.4087594521807474,4865.6664,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
7,11,13.65,0.078946455,186.024,-2.538985441125209,1118.544,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
7,11,17.6,0.041700756,164.8526,-3.177236020845316,2302.3364,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
8,16,8.645,0.143422643,95.841,-1.941959462305374,2027.361,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
8,16,15.6,0.105296072,170.1764,-2.250979163481949,3435.528,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
1,26,15.85,0.121531501,59.222,-2.1075817823158296,599.22,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
7,11,18.25,0.0,164.7526,-3.6123082178025943,4604.6728,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
2,6,7.855,0.011324862,189.6188,-3.6123082178025943,2285.0256,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
9,14,7.825,0.186357148,254.3698,-1.6800902958638873,5580.7356,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1
8,16,8.39,0.024205661,114.0176,-3.6123082178025943,2290.352,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
9,14,12.85,0.033230816,172.3422,-3.4042776407931465,1207.0954,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
4,28,12.857645184135976,0.113720344,89.9804,-2.174012967230294,643.1628,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
2,6,19.0,0.112556507,104.9622,-2.1842998989958247,1587.933,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
7,11,5.905,0.0,222.5456,-3.6123082178025943,5305.0944,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
8,16,7.76,0.059352241,101.87,-2.8242653995828704,1697.79,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
8,16,11.8,0.014087057,180.3344,-3.6123082178025943,1427.4752,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0
3,4,16.75,0.045230944,187.9556,-3.0959738246069337,4693.89,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
4,28,12.857645184135976,0.293417759,194.6136,-1.2261578868159935,583.2408,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
5,28,12.857645184135976,0.031382044,171.3764,-3.4615193967686193,3091.9752,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
2,6,15.5,0.12639886,177.0028,-2.068312816297393,2479.4392,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
6,9,6.055,0.025403898,160.992,-3.6123082178025943,2716.464,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
5,28,12.857645184135976,0.039057677,155.963,-3.2427158279084165,3285.723,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
8,16,6.305,0.123115764,95.6436,-2.0946301955014843,661.8052,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
9,14,20.85,0.039624006,117.2808,-3.228320132272832,1523.3504,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
0,15,20.75,0.040421193,122.173,-3.208401052350685,369.519,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
9,14,8.895,0.105274111,39.9138,-2.251187749519789,690.4346,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
7,11,19.6,0.033970195,55.1614,-3.38227175646698,1381.535,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0
6,9,19.7,0.053212652,57.893,-2.9334590913602523,622.523,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
6,9,9.8,0.024378706,114.5492,-3.6123082178025943,1274.3412,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
4,28,12.857645184135976,0.009714595,120.0414,-3.6123082178025943,487.3656,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
9,14,12.15,0.131383762,246.046,-2.0296327574324127,1231.73,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
6,9,8.75,0.07461309,187.4556,-2.595439317996435,3755.112,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
5,28,12.857645184135976,0.028459761,149.9708,-3.5592640841069216,4363.6532,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
8,16,8.75,0.074627201,187.8556,-2.595250213566961,1314.2892,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
7,11,13.3,0.063695084,151.0708,-2.7536478936364226,1805.6496,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
5,28,12.857645184135976,0.045797829,178.5344,-3.083518590732221,2854.9504,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
9,14,8.31,0.115857223,179.1028,-2.1553966821836825,3896.2616,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
1,26,16.75,0.024832806,38.7822,-3.6123082178025943,667.7974,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0
3,4,19.75,0.034027909,212.0902,-3.3805742381403245,3185.853,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
1,26,17.1,0.0467696,141.1838,-3.062521859771828,2247.7408,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
1,26,10.5,0.116576702,163.121,-2.1492058363514412,1794.331,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1
7,11,6.635,0.0,121.3098,-3.6123082178025943,2530.7058,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
4,28,12.857645184135976,0.278974075,225.372,-1.276636422625162,679.116,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1,26,14.15,0.035913805,41.4138,-3.326633517014639,812.276,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0
8,16,13.3,0.079806266,232.53,-2.528153256305752,699.09,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
2,6,8.89,0.005505481,102.4016,-3.6123082178025943,2732.4432,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
4,28,12.857645184135976,0.064625342,176.937,-2.739148654097914,176.437,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
5,28,12.857645184135976,0.071636937,121.7098,-2.636144458147552,4097.3332,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
7,11,9.1,0.0,173.2054,-3.6123082178025943,3151.8972,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
9,14,7.5,0.032677678,239.0906,-3.4210630641462716,5942.265,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
2,6,16.85,0.160760054,192.4478,-1.8278423734967393,4843.695,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
6,9,7.485,0.06911065,109.0228,-2.6720464356271587,2542.0244,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
2,6,11.6,0.041177505,140.3154,-3.189863166881915,2552.6772,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
3,4,11.65,0.040081193,227.0694,-3.2168480571794484,1141.847,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
2,6,13.0,0.035307322,47.5034,-3.3436649144555575,680.4476,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
7,11,12.65,0.063017847,159.0578,-2.76433730699414,2085.9514,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
0,15,20.25,0.171938781,92.512,-1.7606167899434182,186.424,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
6,9,8.6,0.040197932,190.153,-3.2139397274664567,3036.048,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
2,6,12.6,0.049058014,62.7194,-3.0147517220147937,866.8716,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
6,9,17.7,0.01161096,95.041,-3.6123082178025943,868.869,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0
8,16,14.15,0.183507295,82.4276,-1.6955008575093196,1137.1864,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
2,6,19.25,0.102349519,52.7956,-2.2793616664462135,928.1252,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
1,26,8.88,0.086708987,151.7682,-2.4451977442815385,762.341,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
7,11,20.5,0.032835147,40.2822,-3.4162557824191175,707.0796,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
5,28,12.857645184135976,0.033809913,180.5976,-3.3870012354688477,7968.2944,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
8,16,13.5,0.07266912,160.292,-2.621838743963173,1438.128,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
5,28,12.857645184135976,0.144338493,224.4404,-1.9355940920188126,6976.2524,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1
0,15,8.89,0.009163216,101.7016,-3.6123082178025943,101.2016,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
3,4,7.855,0.011307038,188.5188,-3.6123082178025943,952.094,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0
8,16,7.235,0.076855628,116.0492,-2.565826578107086,1969.4364,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
5,28,12.857645184135976,0.059956876,165.4526,-2.814129708505999,5262.4832,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
7,11,6.92,0.038532062,60.5852,-3.256264605035838,1314.2892,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
2,6,9.3,0.043209581,90.8172,-3.1416930259147473,535.3032,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0
0,15,18.5,0.056816465,132.1284,-2.867929118500619,263.6568,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
6,9,8.02,0.019866705,154.5972,-3.6123082178025943,1402.1748,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
2,6,9.195,0.048331717,105.1622,-3.029667267168158,1693.7952,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
7,11,12.8,0.091221855,105.5938,-2.3944607724525935,2143.876,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
9,14,16.6,0.027622076,177.6344,-3.589139970900166,2676.516,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
6,9,14.0,0.0,53.064,-3.6123082178025943,905.488,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
9,14,18.6,0.039355947,246.3802,-3.2351081846610983,7370.406,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0
6,9,16.0,0.060836524,226.8404,-2.7995649466880494,6301.1312,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0
6,9,17.6,0.082316506,160.692,-2.4971836324776255,1597.92,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
6,9,21.25,0.155350299,178.237,-1.8620727184587405,529.311,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
6,9,7.235,0.076841095,117.5492,-2.5660156907928955,1969.4364,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0
2,6,14.6,0.151419185,50.3692,-1.8877032287015962,1034.6532,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
3,4,13.85,0.026001976,161.521,-3.6123082178025943,1794.331,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0
3,4,13.65,0.073209447,197.6426,-2.614430808965009,2768.3964,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
5,28,12.857645184135976,0.041683481,31.29,-3.177650367749927,898.83,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
8,16,7.365,0.042560252,226.172,-3.1568345129136457,3169.208,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0
3,4,18.35,0.014081156,223.5746,-3.6123082178025943,3589.9936,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
